Mass 0%h2o 5%h2o 10%h2o 15%h2o 20%h2o 25%h2o 30%h2o 35%h2o 40%h2o 45%h2o 50%h2o 55%h2o 60%h2o 65%h2o 70%h2o 75%h2o 80%h2o 85%h2o 90%h2o 95%h2o 100%h2o
0.20309999585151672 0.6687999963760376 0.6895999908447266 0.7074000239372253 0.7213000059127808 0.7343000173568726 0.7466999888420105 0.7584999799728394 0.769599974155426 0.7804999947547913 0.791100025177002 0.8015000224113464 0.8118000030517578 0.8217999935150146 0.8317000269889832 0.8414000272750854 0.8508999943733215 0.8601999878883362 0.8693000078201294 0.8783000111579895 0.8871999979019165 0.8959000110626221
0.2176000028848648 0.6825000047683716 0.7037000060081482 0.7218000292778015 0.7357000112533569 0.7491000294685364 0.7616000175476074 0.7735999822616577 0.785099983215332 0.7964000105857849 0.8072999715805054 0.8177000284194946 0.828000009059906 0.8381999731063843 0.8482000231742859 0.8580999970436096 0.867900013923645 0.8776999711990356 0.8870000243186951 0.8963000178337097 0.9053000211715698 0.9143999814987183
0.23330000042915344 0.6965000033378601 0.7182000279426575 0.7364000082015991 0.7505999803543091 0.76419997215271 0.7768999934196472 0.7890999913215637 0.8008000254631042 0.8123000264167786 0.8234999775886536 0.8342999815940857 0.8449000120162964 0.8550000190734863 0.8651000261306763 0.8751999735832214 0.885200023651123 0.8952999711036682 0.9050999879837036 0.9146000146865845 0.9239000082015991 0.9330999851226807
0.25 0.7110000252723694 0.733299970626831 0.7513999938964844 0.7660999894142151 0.7797999978065491 0.7926999926567078 0.8050000071525574 0.8169000148773193 0.8285999894142151 0.839900016784668 0.8508999943733215 0.8616999983787537 0.8723000288009644 0.8826000094413757 0.8927000164985657 0.9028000235557556 0.9132999777793884 0.9233999848365784 0.9333000183105469 0.942799985408783 0.9521999955177307
0.2678999900817871 0.7254999876022339 0.7483000159263611 0.7663999795913696 0.7815999984741211 0.7955999970436096 0.8087999820709229 0.8215000033378601 0.8337000012397766 0.8453999757766724 0.8568000197410583 0.867900013923645 0.8788999915122986 0.8895999789237976 0.9003999829292297 0.9108999967575073 0.9210000038146973 0.9315000176429749 0.9419999718666077 0.9521999955177307 0.9621000289916992 0.9717000126838684
0.287200003862381 0.7404000163078308 0.763700008392334 0.7817999720573425 0.7972999811172485 0.8116000294685364 0.824999988079071 0.8378999829292297 0.8504999876022339 0.862500011920929 0.8741999864578247 0.8853999972343445 0.8964999914169312 0.9074000120162964 0.9182999730110168 0.9293000102043152 0.9398999810218811 0.9502000212669373 0.9609000086784363 0.9714000225067139 0.9815999865531921 0.991599977016449
0.3077999949455261 0.7555999755859375 0.7795000076293945 0.7975999712944031 0.8134999871253967 0.828000009059906 0.8416000008583069 0.8547000288963318 0.8675000071525574 0.8797000050544739 0.8916000127792358 0.9031999707221985 0.9147999882698059 0.9258000254631042 0.9368000030517578 0.9478999972343445 0.958899974822998 0.9695000052452087 0.9800999760627747 0.9908999800682068 1.0015000104904175 1.0117000341415405
0.32989999651908875 0.771399974822998 0.795799970626831 0.8141000270843506 0.8302000164985657 0.8449000120162964 0.8587999939918518 0.8720999956130981 0.8849999904632568 0.8973000049591064 0.9093999862670898 0.9211999773979187 0.9330000281333923 0.9447000026702881 0.9559000134468079 0.9668999910354614 0.9781000018119812 0.9890999794006348 0.9998000264167786 1.010599970817566 1.0217000246047974 1.0321999788284302
0.35359999537467957 0.7872999906539917 0.8123999834060669 0.8307999968528748 0.8471999764442444 0.8622000217437744 0.8762999773025513 0.8899000287055969 0.902899980545044 0.9154000282287598 0.9276999831199646 0.9397000074386597 0.95169997215271 0.9635999798774719 0.9753000140190125 0.9865999817848206 0.9976999759674072 1.0088000297546387 1.0199999809265137 1.0307999849319458 1.042099952697754 1.0532000064849854
0.3788999915122986 0.803600013256073 0.829200029373169 0.8478000164031982 0.8644000291824341 0.8797000050544739 0.89410001039505 0.9078999757766724 0.9211999773979187 0.9340000152587891 0.9466000199317932 0.958899974822998 0.9708999991416931 0.9829000234603882 0.9947999715805054 1.0063999891281128 1.017899990081787 1.0290000438690186 1.0403000116348267 1.0514999628067017 1.0628999471664429 1.0744999647140503
0.40610000491142273 0.8201000094413757 0.8463000059127808 0.8651999831199646 0.8819000124931335 0.8974999785423279 0.9121999740600586 0.9262999892234802 0.9398000240325928 0.9528999924659729 0.9657999873161316 0.9785000085830688 0.9908000230789185 1.0027999877929688 1.0147000551223755 1.0264999866485596 1.0382000207901 1.0497000217437744 1.0611000061035156 1.072700023651123 1.0839999914169312 1.0960999727249146
0.43529999256134033 0.836899995803833 0.8636999726295471 0.8827999830245972 0.8998000025749207 0.9156000018119812 0.9305999875068665 0.9448999762535095 0.9587000012397766 0.972100019454956 0.9853000044822693 0.998199999332428 1.0108000040054321 1.0232000350952148 1.035099983215332 1.0470000505447388 1.058899998664856 1.0709999799728394 1.0824999809265137 1.093999981880188 1.1057000160217285 1.1180000305175781
0.46650001406669617 0.8540999889373779 0.8815000057220459 0.9009000062942505 0.9180999994277954 0.9341999888420105 0.949400007724762 0.9638000130653381 0.9778000116348267 0.9916999936103821 1.0052000284194946 1.0183000564575195 1.0311000347137451 1.0437999963760376 1.0561000108718872 1.0681999921798706 1.080199956893921 1.0925999879837036 1.104599952697754 1.1159000396728516 1.1282999515533447 1.1404999494552612
0.5 0.8716999888420105 0.8996000289916992 0.9192000031471252 0.9366999864578247 0.9531000256538391 0.9685999751091003 0.9833999872207642 0.9976000189781189 1.0118000507354736 1.0254000425338745 1.0388000011444092 1.0516999959945679 1.0648000240325928 1.0774999856948853 1.089900016784668 1.1023000478744507 1.1146999597549438 1.1268999576568604 1.1384999752044678 1.1510000228881836 1.1632000207901
0.5358999967575073 0.8895999789237976 0.9178000092506409 0.9377999901771545 0.9556999802589417 0.9724000096321106 0.988099992275238 1.0032000541687012 1.017899990081787 1.0321999788284302 1.0461000204086304 1.0597000122070312 1.072700023651123 1.0861999988555908 1.0992000102996826 1.1119999885559082 1.1246000528335571 1.1370999813079834 1.1495000123977661 1.1617000102996826 1.1740000247955322 1.1863000392913818
