# %ECSV 0.9
# ---
# datatype:
# - name: metallicity_solar
#   datatype: float64
# - name: age_Gyr
#   datatype: float64
# - name: F_inc_oplus
#   datatype: float64
# - name: Mass_oplus
#   datatype: float64
# - name: f_env_pc
#   datatype: float64
# - name: R_oplus
#   datatype: float64
# schema: astropy-2.0
metallicity_solar age_Gyr F_inc_oplus Mass_oplus f_env_pc R_oplus
1.0 0.1 1000.0 5.5 0.01 1.87
1.0 0.1 1000.0 5.5 0.02 1.88
1.0 0.1 1000.0 5.5 0.05 1.92
1.0 0.1 1000.0 5.5 0.1 1.96
1.0 0.1 1000.0 5.5 0.2 2.08
1.0 0.1 1000.0 5.5 0.5 2.37
1.0 0.1 1000.0 5.5 1.0 2.76
1.0 0.1 1000.0 5.5 2.0 3.22
1.0 0.1 1000.0 5.5 5.0 4.39
1.0 0.1 1000.0 5.5 10.0 6.25
1.0 0.1 1000.0 5.5 20.0 10.3
1.0 0.1 1000.0 5.5 100.0 42.7
1.0 0.1 1000.0 8.5 0.01 1.99
1.0 0.1 1000.0 8.5 0.02 2.0
1.0 0.1 1000.0 8.5 0.05 2.03
1.0 0.1 1000.0 8.5 0.1 2.08
1.0 0.1 1000.0 8.5 0.2 2.19
1.0 0.1 1000.0 8.5 0.5 2.5
1.0 0.1 1000.0 8.5 1.0 2.76
1.0 0.1 1000.0 8.5 2.0 3.15
1.0 0.1 1000.0 8.5 5.0 4.12
1.0 0.1 1000.0 8.5 10.0 5.56
1.0 0.1 1000.0 8.5 20.0 8.48
1.0 0.1 1000.0 8.5 100.0 31.840000000000003
1.0 0.1 1000.0 13.0 0.01 2.12
1.0 0.1 1000.0 13.0 0.02 2.12
1.0 0.1 1000.0 13.0 0.05 2.15
1.0 0.1 1000.0 13.0 0.1 2.21
1.0 0.1 1000.0 13.0 0.2 2.31
1.0 0.1 1000.0 13.0 0.5 2.58
1.0 0.1 1000.0 13.0 1.0 2.81
1.0 0.1 1000.0 13.0 2.0 3.16
1.0 0.1 1000.0 13.0 5.0 3.99
1.0 0.1 1000.0 13.0 10.0 5.18
1.0 0.1 1000.0 13.0 20.0 7.43
1.0 0.1 1000.0 13.0 100.0 25.429999999999993
1.0 0.1 1000.0 20.0 0.01 2.27
1.0 0.1 1000.0 20.0 0.02 2.27
1.0 0.1 1000.0 20.0 0.05 2.3
1.0 0.1 1000.0 20.0 0.1 2.35
1.0 0.1 1000.0 20.0 0.2 2.45
1.0 0.1 1000.0 20.0 0.5 2.68
1.0 0.1 1000.0 20.0 1.0 2.9
1.0 0.1 1000.0 20.0 2.0 3.21
1.0 0.1 1000.0 20.0 5.0 3.94
1.0 0.1 1000.0 20.0 10.0 4.97
1.0 0.1 1000.0 20.0 20.0 6.8
1.0 0.1 1000.0 20.0 100.0 21.44
1.0 0.1 1000.0 40.0 0.01 2.6985714285714275
1.0 0.1 1000.0 40.0 0.02 2.6985714285714275
1.0 0.1 1000.0 40.0 0.05 2.728571428571428
1.0 0.1 1000.0 40.0 0.1 2.75
1.0 0.1 1000.0 40.0 0.2 2.8499999999999996
1.0 0.1 1000.0 40.0 0.5 2.9657142857142853
1.0 0.1 1000.0 40.0 1.0 3.1571428571428566
1.0 0.1 1000.0 40.0 2.0 3.3528571428571414
1.0 0.1 1000.0 40.0 5.0 3.7971428571428567
1.0 0.1 1000.0 40.0 10.0 4.369999999999999
1.0 0.1 1000.0 40.0 20.0 5.000000000000002
1.0 0.1 1000.0 40.0 100.0 10.04000000000002
1.0 1.0 0.1 1.0 0.01 1.07
1.0 1.0 0.1 1.0 0.02 1.09
1.0 1.0 0.1 1.0 0.05 1.12
1.0 1.0 0.1 1.0 0.1 1.15
1.0 1.0 0.1 1.0 0.2 1.28
1.0 1.0 0.1 1.0 0.5 1.55
1.0 1.0 0.1 1.0 1.0 1.79
1.0 1.0 0.1 1.0 2.0 2.13
1.0 1.0 0.1 1.0 5.0 2.98
1.0 1.0 0.1 1.0 10.0 4.26
1.0 1.0 0.1 1.0 20.0 6.74
1.0 1.0 0.1 1.0 100.0 26.579999999999984
1.0 1.0 0.1 1.5 0.01 1.18
1.0 1.0 0.1 1.5 0.02 1.19
1.0 1.0 0.1 1.5 0.05 1.22
1.0 1.0 0.1 1.5 0.1 1.26
1.0 1.0 0.1 1.5 0.2 1.38
1.0 1.0 0.1 1.5 0.5 1.62
1.0 1.0 0.1 1.5 1.0 1.82
1.0 1.0 0.1 1.5 2.0 2.13
1.0 1.0 0.1 1.5 5.0 2.87
1.0 1.0 0.1 1.5 10.0 3.96
1.0 1.0 0.1 1.5 20.0 6.1
1.0 1.0 0.1 1.5 100.0 23.219999999999985
1.0 1.0 0.1 2.4 0.01 1.32
1.0 1.0 0.1 2.4 0.02 1.33
1.0 1.0 0.1 2.4 0.05 1.36
1.0 1.0 0.1 2.4 0.1 1.39
1.0 1.0 0.1 2.4 0.2 1.52
1.0 1.0 0.1 2.4 0.5 1.72
1.0 1.0 0.1 2.4 1.0 1.9
1.0 1.0 0.1 2.4 2.0 2.16
1.0 1.0 0.1 2.4 5.0 2.81
1.0 1.0 0.1 2.4 10.0 3.75
1.0 1.0 0.1 2.4 20.0 5.52
1.0 1.0 0.1 2.4 100.0 19.67999999999999
1.0 1.0 0.1 3.6 0.01 1.45
1.0 1.0 0.1 3.6 0.02 1.46
1.0 1.0 0.1 3.6 0.05 1.49
1.0 1.0 0.1 3.6 0.1 1.52
1.0 1.0 0.1 3.6 0.2 1.65
1.0 1.0 0.1 3.6 0.5 1.82
1.0 1.0 0.1 3.6 1.0 1.99
1.0 1.0 0.1 3.6 2.0 2.23
1.0 1.0 0.1 3.6 5.0 2.81
1.0 1.0 0.1 3.6 10.0 3.65
1.0 1.0 0.1 3.6 20.0 5.21
1.0 1.0 0.1 3.6 100.0 17.68999999999999
1.0 1.0 0.1 5.5 0.01 1.6
1.0 1.0 0.1 5.5 0.02 1.61
1.0 1.0 0.1 5.5 0.05 1.64
1.0 1.0 0.1 5.5 0.1 1.67
1.0 1.0 0.1 5.5 0.2 1.79
1.0 1.0 0.1 5.5 0.5 1.95
1.0 1.0 0.1 5.5 1.0 2.11
1.0 1.0 0.1 5.5 2.0 2.34
1.0 1.0 0.1 5.5 5.0 2.87
1.0 1.0 0.1 5.5 10.0 3.62
1.0 1.0 0.1 5.5 20.0 5.0
1.0 1.0 0.1 5.5 100.0 16.039999999999985
1.0 1.0 0.1 8.5 0.01 1.77
1.0 1.0 0.1 8.5 0.02 1.78
1.0 1.0 0.1 8.5 0.05 1.8
1.0 1.0 0.1 8.5 0.1 1.83
1.0 1.0 0.1 8.5 0.2 1.94
1.0 1.0 0.1 8.5 0.5 2.1
1.0 1.0 0.1 8.5 1.0 2.25
1.0 1.0 0.1 8.5 2.0 2.47
1.0 1.0 0.1 8.5 5.0 2.97
1.0 1.0 0.1 8.5 10.0 3.67
1.0 1.0 0.1 8.5 20.0 4.91
